created_at,text,reply_count,retweet_count,favorite_count,utc_offset,location,followers_count,verified,lang,geo,coordinates,place
Wed Apr 04 10:21:09 +0000 2018,Deschutes Brewery Continues to Innovate #beer #brewery #deschutes https://t.co/eB2tVtyzrR,0,0,0,,,26,False,en,,,
Wed Apr 04 10:21:09 +0000 2018,@PingerisPvP sa vist ei tea millega sa riskid,0,0,0,10800,,152,False,et,,,
Wed Apr 04 10:21:09 +0000 2018,"RT @KBeatsSG: [INFO] Eric Nam will be joining Dal.Komm Coffee Singapore for their 1st year anniversary on 5th May, Saturday, at the Marina…",0,0,0,,,28,False,en,,,
Wed Apr 04 10:21:09 +0000 2018,RT @BibliotecaHUVH: Abdominal Ultrasound Assessment During Operative Hysteroscopy: A Case Series #hvhebron #gin https://t.co/1pDn36Hmwa @Li…,0,0,0,7200,Galicia,1025,False,en,,,
Wed Apr 04 10:21:10 +0000 2018,"RT @MuslimIQ: Here's a list of reasons why you should #LoveAMuslim

•Muslims invented coffee.

There's more, but let's be honest, coffee is…",0,0,0,,"Alabama, USA",78,False,en,,,
Wed Apr 04 10:21:10 +0000 2018,不気味な唇を備えた赤いきのこを名古屋はプッシュしているのかよ・・・・・・とおもったらドーナッツだった。名古屋とは一体・・・ https://t.co/iuQLPtlOzn,0,0,0,32400,限定仮想領域,168,False,ja,,,
Wed Apr 04 10:21:10 +0000 2018,Este sabado #07abril es la noche ideal para cantar las grandes canciones del rock en tu idioma.… https://t.co/ThTe4Ug0u2,0,0,0,-14400,Caracas / Venezuela,51871,False,es,,,
Wed Apr 04 10:21:11 +0000 2018,RT @GINIQGIN: IQ  #Gin - #Competition - #Win - #prize-#draw - #prizes ~#play Simply retweet &amp; follow us to enter. Draw 30th April GREAT BOT…,0,0,0,3600,"Chesterfield, England",2036,False,en,,,
Wed Apr 04 10:21:11 +0000 2018,RT @MantleBooks: A quick reminder that #OnlyChild is just 99p on kindle this month. Buy it and some tissues (which you may need) for less t…,0,0,0,,,1436,False,en,,,
Wed Apr 04 10:21:11 +0000 2018,IQ  #Gin - #Competition - #Win - #prize-#draw - #prizes ~#play Simply retweet &amp; follow us to enter. Draw 30th April… https://t.co/k4VmfKgWjJ,0,0,0,,United Kingdom,7777,False,en,,,
