created_at,text,reply_count,retweet_count,favorite_count,utc_offset,location,followers_count,verified,lang,geo,coordinates,place
Wed Apr 04 08:14:58 +0000 2018,"Algún dia me traeré una botellita de ron o de vodka y cada vez que la de finanzas diga ""me están siguiendo?"" chupit… https://t.co/LMzrlKUrTX",0,0,0,3600,,112,False,es,,,
Wed Apr 04 08:14:58 +0000 2018,RT @INCIndia: Congress President @RahulGandhi stops to have the Davanagere benne dose &amp; coffee for lunch. Conversations with people followe…,0,0,0,,India.,65,False,en,,,
Wed Apr 04 08:14:58 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,Malaysia,11267,False,in,,,
Wed Apr 04 08:14:58 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,"Kuching, Sarawak ✈️ Penang",29160,False,in,,,
Wed Apr 04 08:14:58 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,15955,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,63975,False,in,,,
Wed Apr 04 08:14:58 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,-25200,"Selangor, Malaysia",21392,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,97022,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,Support This Account,15937,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,89726,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,64217,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,,28402,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,-28800,Malaysia,35152,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,-25200,Malaysia,33462,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,Dm for paid review/paid rt,36881,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,RT @basurochips: [ATTN STUDENT] - ANDA INGIN MENCARI DUIT SAMPINGAN ATAU SKRG AMBIL SUBJEK ENT. ? TAPI TAK TAHU NK JUAL APA ! JOM JADI DS/A…,0,0,0,28800,"Johor, Malaysia",26337,False,in,,,
Wed Apr 04 08:14:59 +0000 2018,"RT @Yhod8: แฟนผมเป็นนุช..^^
 ลูกศิษย์ผมก็เป็นนุช..^^
 น้องๆผมเป็นทีมงาน Disney Club
 อยากวาดรูปน้องชายมานานแล้วครับ
 ( Coffee + pen on pape…",0,0,0,,"กรุงเทพมหานคร, ประเทศไทย",38,False,th,,,
Wed Apr 04 08:14:59 +0000 2018,"RT @narendramobi: @INCIndia @RahulGandhi @INCIndia President #RahulGandhi goes abroad for Holidays &amp; Vacations, and here he is having tea w…",0,0,0,,Charwaha Vidyalay,141,False,en,,,
Wed Apr 04 08:14:59 +0000 2018,@marsdlcrz Mag mimilk tea panaman tyo ni @mxcxpadilla,0,0,0,,"Las Pinas City, National Capit",37,False,tl,,,
Wed Apr 04 08:14:59 +0000 2018,https://t.co/CvWbrlcbCS,0,0,0,,"Paarl, South Africa",73,False,und,,,
Wed Apr 04 08:14:59 +0000 2018,@Milkyone Sounds like mine and ems cup of tea then!!😂 https://t.co/naAyzq9doz,0,0,0,-25200,"Burntwood, England",347,False,en,,,
Wed Apr 04 08:15:00 +0000 2018,WINTER SUN Yoke Dress Knit High Low Hem Cotton Jersey Coffee Brown NWT Large https://t.co/MQOzcf2ESQ #ebay #ebaydeals #clearance #sale,0,0,0,-18000,"Louisiana, USA",13141,False,en,,,
Wed Apr 04 08:15:00 +0000 2018,"We've been able to get hash brown for lunch for a while now, but now we can also have #NUGS4BREKKIE!

https://t.co/sEzCi0vn31",0,0,0,34200,"Adelaide, Australia",6117,True,en,,,
