created_at,text,reply_count,retweet_count,favorite_count,utc_offset,location,followers_count,verified,lang,geo,coordinates,place
Wed Apr 04 01:28:16 +0000 2018,@James_Proclaims FRANCIE DOESN'T LIKE COFFEE ICE CREAM,0,0,0,3600,"London, via Dublin",1007,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,Yes time for tea (@ TeaTop) on #Yelp https://t.co/srotP8szgM,0,0,0,,"Castro Valley, CA",1426,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,I just earned the 'Draft City (Level 46)' badge on @untappd! https://t.co/3HtSV3QqmL,0,0,0,-14400,"Seattle, WA",248,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,Adulting is when youre at a liquor store and you dont look for anymore vodka and tequila but going crazy with dem colourful wine bottles 🤔,0,0,0,-18000,"Toronto, Ontario",281,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,"Tea fuelled low iq low apm support gameplay
https://t.co/t2JiqXrcQ6",0,0,0,-25200,OUR UNITED KINGDOM,172,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,Drinking a Traditional Lager by @Yuengling_Beer - https://t.co/r2YLzvlxh7,0,0,0,,"Waukee, IA",255,False,en,,,
Wed Apr 04 01:28:16 +0000 2018,@imkylecooke @suitsupply @mgemi @BradleyStyleNYC @Bravotv @BravoWWHL your Tea party 😂💙😂💙,0,0,0,,United States,150,False,en,,,
Wed Apr 04 01:28:17 +0000 2018,RT @ky_denzz: my 93 y/o resident had me watering her flowers for well over 20 minutes because they had to be perfect. she then told me to l…,0,0,0,-18000,,670,False,en,,,
Wed Apr 04 01:28:17 +0000 2018,@paulinnium You really gotta write a show just about coffee shop writing.,0,0,0,-14400,,838,False,en,,,
Wed Apr 04 01:28:17 +0000 2018,"RT @2pbarao: 🔥💥TROPA DA BARÃO APRESENTA: BAILE DO DJ RAFAIT DO TURANO!!!!  🔥💥📸💃🕺

OPEN BAR 😍✅
TEQUILA✅
CATUABA✅
VODKA C ENERGÉTICO✅

INGRES…",0,0,0,,,841,False,pt,,,
Wed Apr 04 01:28:17 +0000 2018,It's glass of wine and homework kind of night 👩🏽‍🎓🍷,0,0,0,,"Cross plains, TX",523,False,en,,,
Wed Apr 04 01:28:17 +0000 2018,"@bbhbitch im laughing at the way you slap them with tea, NEXT 😂",0,0,0,25200,rain ; 7:48 || 130318 9:36 PST,720,False,en,,,"{'id': '00c5024b21906872', 'url': 'https://api.twitter.com/1.1/geo/id/00c5024b21906872.json', 'place_type': 'city', 'name': 'Floridablanca', 'full_name': 'Floridablanca, Central Luzon', 'country_code': 'PH', 'country': 'Republic of the Philippines', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[120.422451, 14.873014], [120.422451, 15.053306], [120.553966, 15.053306], [120.553966, 14.873014]]]}, 'attributes': {}}"
Wed Apr 04 01:28:17 +0000 2018,I just earned the 'I Believe in IPA! (Level 74)' badge on @untappd! https://t.co/F5eZwKvdXB,0,0,0,-14400,"Seattle, WA",248,False,en,,,
Wed Apr 04 01:28:18 +0000 2018,"""Its an Ed Sheeran, tacos &amp; tequila, sex shop kinda night!""",0,0,0,-14400,"Orlando, FL",203,False,en,,,
Wed Apr 04 01:28:18 +0000 2018,#UFC 223 Holloway vs Nurmagomedov : Beer Pairing Preview https://t.co/W5biwO2Dw0,0,0,0,-25200,United States,52216,False,en,,,
Wed Apr 04 01:28:19 +0000 2018,RT @Lesbicando1995: se até madison beer beija mulher quem sou eu mera mortal pra não beijar https://t.co/DcQGit77eQ,0,0,0,,,280,False,pt,,,
Wed Apr 04 01:28:19 +0000 2018,RT @MakeCoffeetoday: Brazil - Green coffee exports fall in March 2018 #makecoffeetoday https://t.co/c4keAODZxJ,0,0,0,,"London, England",6826,False,en,,,
